Gender,Event,Location,Year,Medal,Name,Nationality,Result
W,4X400M Relay Women,Munich,1972,G,null,GDR,03:23.0
W,4X400M Relay Women,Munich,1972,S,null,USA,03:25.2
W,4X400M Relay Women,Munich,1972,B,null,FRG,03:26.5
W,5000M Women,Rio,2016,G,Vivian Jepkemoi CHERUIYOT,KEN,14:26.2
W,5000M Women,Rio,2016,S,Hellen Onsando OBIRI,KEN,14:29.8
W,5000M Women,Rio,2016,B,Almaz AYANA,ETH,14:33.6
W,5000M Women,Beijing,2008,G,Tirunesh DIBABA,ETH,15:41.4
W,5000M Women,Beijing,2008,S,Elvan ABEYLEGESSE,TUR,15:42.7
W,5000M Women,Beijing,2008,B,Meseret DEFAR,ETH,15:44.1
W,5000M Women,Sydney,2000,G,Gabriela SZABO,ROU,14:40.8
W,5000M Women,Sydney,2000,S,Sonia O'SULLIVAN,IRL,14:41.0
W,5000M Women,Sydney,2000,B,Gete WAMI,ETH,14:42.2
W,5000M Women,London,2012,G,Meseret DEFAR,ETH,15:04.3
W,5000M Women,London,2012,S,Vivian Jepkemoi CHERUIYOT,KEN,15:04.7
W,5000M Women,London,2012,B,Tirunesh DIBABA,ETH,15:05.2
W,5000M Women,Athens,2004,G,Meseret DEFAR,ETH,14:45.6
W,5000M Women,Athens,2004,S,Isabella OCHICHI,KEN,14:48.2
W,5000M Women,Athens,2004,B,Tirunesh DIBABA,ETH,14:51.8
W,5000M Women,Atlanta,1996,G,Junxia WANG,CHN,14:59.9
W,5000M Women,Atlanta,1996,S,Pauline KONGA,KEN,15:03.5
W,5000M Women,Atlanta,1996,B,Roberta BRUNET,ITA,15:07.5
W,800M Women,Rio,2016,G,Caster SEMENYA,RSA,01:55.3
W,800M Women,Rio,2016,S,Francine NIYONSABA,BDI,01:56.5
W,800M Women,Rio,2016,B,Margaret Nyairera WAMBUI,KEN,01:56.9
W,800M Women,Beijing,2008,G,Pamela JELIMO,KEN,01:54.9
W,800M Women,Beijing,2008,S,Janeth Jepkosgei BUSIENEI,KEN,01:56.1
W,800M Women,Beijing,2008,B,Hasna BENHASSI,MAR,01:56.7
W,800M Women,Sydney,2000,G,Maria MUTOLA,MOZ,01:56.2
W,800M Women,Sydney,2000,S,Stephanie GRAF,AUT,01:56.6
W,800M Women,Sydney,2000,B,Kelly HOLMES,GBR,01:56.8
W,800M Women,Barcelona,1992,G,Ellen VAN LANGEN,NED,01:55.5
W,800M Women,Barcelona,1992,S,Liliya NURUTDINOVA,EUN,01:56.0
W,800M Women,Barcelona,1992,B,Ana Fidelia QUIROT,CUB,01:56.8
W,800M Women,Los Angeles,1984,G,Doina MELINTE,ROU,01:57.6
W,800M Women,Los Angeles,1984,S,Kim GALLAGHER,USA,01:58.6
W,800M Women,Los Angeles,1984,B,Fita LOVIN,ROU,01:58.8
W,800M Women,Montreal,1976,G,Tatiana KAZANKINA,URS,01:54.9
W,800M Women,Montreal,1976,S,Nikolina CHTEREVA,BUL,01:55.4
W,800M Women,Montreal,1976,B,Elfi ZINN,GDR,01:55.6
W,800M Women,Mexico,1968,G,Madeline MANNING-JACKSON,USA,02:00.9
W,800M Women,Mexico,1968,S,Ileana SILAI,ROU,02:02.5
W,800M Women,Mexico,1968,B,Maria GOMMERS,NED,02:02.6
W,800M Women,Rome,1960,G,Lyudmila SHEVTSOVA,URS,02:04.3
W,800M Women,Rome,1960,S,Brenda JONES,AUS,02:04.4
W,800M Women,Rome,1960,B,Ursula DONATH,EUA,02:05.6
W,800M Women,London,2012,G,Mariya SAVINOVA,RUS,01:56.2
W,800M Women,London,2012,S,Caster SEMENYA,RSA,01:57.2
W,800M Women,London,2012,B,Ekaterina POISTOGOVA,RUS,01:57.5
W,800M Women,Athens,2004,G,Kelly HOLMES,GBR,01:56.4
W,800M Women,Athens,2004,S,Hasna BENHASSI,MAR,01:56.4
W,800M Women,Athens,2004,B,Jolanda CEPLAK,SLO,01:56.4
W,800M Women,Atlanta,1996,G,Svetlana MASTERKOVA,RUS,01:57.7
W,800M Women,Atlanta,1996,S,Ana Fidelia QUIROT,CUB,01:58.1
W,800M Women,Atlanta,1996,B,Maria MUTOLA,MOZ,01:58.7
W,800M Women,Moscow,1980,G,Nadezhda OLIZARENKO,URS,01:53.5
W,800M Women,Moscow,1980,S,Olga MINEEVA,URS,01:54.9
W,800M Women,Moscow,1980,B,Tatiana PROVIDOKHINA,URS,01:55.5
W,800M Women,Munich,1972,G,Hildegard FALCK,FRG,01:58.6
W,800M Women,Munich,1972,S,Niole SABAITE,URS,01:58.6
W,800M Women,Munich,1972,B,Gunhild HOFFMEISTER,GDR,01:59.2
W,800M Women,Tokyo,1964,G,Ann PACKER,GBR,02:01.1
W,800M Women,Tokyo,1964,S,Maryvonne DUPUREUR,FRA,02:01.9
W,800M Women,Tokyo,1964,B,Ann Marise CHAMBERLAIN,NZL,02:02.8
W,800M Women,Amsterdam,1928,G,"Karoline ""Lina"" RADKE",GER,02:16.8
W,800M Women,Amsterdam,1928,S,Kinue HITOMI,JPN,None
W,800M Women,Amsterdam,1928,B,Inga GENTZEL,SWE,None
W,Heptathlon Women,Rio,2016,G,Nafissatou THIAM,BEL,6810
W,Heptathlon Women,Rio,2016,S,Jessica ENNIS HILL,GBR,6775
W,Heptathlon Women,Rio,2016,B,Brianne THEISEN EATON,CAN,6653
W,Heptathlon Women,Beijing,2008,G,Natallia DOBRYNSKA,UKR,6733
W,Heptathlon Women,Beijing,2008,S,Hyleas FOUNTAIN,USA,6619
W,Heptathlon Women,Beijing,2008,B,Tatyana CHERNOVA,RUS,6591
W,Heptathlon Women,Sydney,2000,G,Denise LEWIS,GBR,6584
W,Heptathlon Women,Sydney,2000,S,Yelena PROKHOROVA,RUS,6531
W,Heptathlon Women,Sydney,2000,B,Natalya SAZANOVICH,BLR,6527
W,Heptathlon Women,Barcelona,1992,G,Jackie JOYNER,USA,7044 P.
W,Heptathlon Women,Barcelona,1992,S,Irina BELOVA,EUN,6845
W,Heptathlon Women,Barcelona,1992,B,Sabine BRAUN,GER,6649
W,Heptathlon Women,Los Angeles,1984,G,Glynis NUNN,AUS,6390
W,Heptathlon Women,Los Angeles,1984,S,Jackie JOYNER,USA,6385
W,Heptathlon Women,Los Angeles,1984,B,Sabine EVERTS,FRG,6363
W,Heptathlon Women,London,2012,G,Jessica ENNIS HILL,GBR,6955
W,Heptathlon Women,London,2012,S,Lilli SCHWARZKOPF,GER,6649
W,Heptathlon Women,London,2012,B,Tatyana CHERNOVA,RUS,6628
W,Heptathlon Women,Athens,2004,G,Carolina KLUFT,SWE,6952
W,Heptathlon Women,Athens,2004,S,Austra SKUJYTE,LTU,6435
W,Heptathlon Women,Athens,2004,B,Kelly SOTHERTON,GBR,6424
W,Heptathlon Women,Atlanta,1996,G,Ghada SHOUAA,SYR,6780
W,Heptathlon Women,Atlanta,1996,S,Natalya SAZANOVICH,BLR,6563
W,Heptathlon Women,Atlanta,1996,B,Denise LEWIS,GBR,6489
W,Heptathlon Women,Seoul,1988,G,Jackie JOYNER,USA,7291 P.
W,Heptathlon Women,Seoul,1988,S,Sabine JOHN,GDR,6897
W,Heptathlon Women,Seoul,1988,B,Anke BEHMER,GDR,6858
W,Marathon Women,Rio,2016,G,Jemima Jelagat SUMGONG,KEN,2:24:04
W,Marathon Women,Rio,2016,S,Eunice Jepkirui KIRWA,BRN,2:24:13
W,Marathon Women,Rio,2016,B,Mare DIBABA,ETH,2:24:30
W,Marathon Women,Beijing,2008,G,Constantina TOMESCU,ROU,2h26:44
W,Marathon Women,Beijing,2008,S,Catherine NDEREBA,KEN,2h27:06
W,Marathon Women,Beijing,2008,B,Chunxiu ZHOU,CHN,2h27:07
W,Marathon Women,Sydney,2000,G,Naoko TAKAHASHI,JPN,02h23:14
W,Marathon Women,Sydney,2000,S,Lidia SIMON,ROU,02h23:22
W,Marathon Women,Sydney,2000,B,Joyce CHEPCHUMBA,KEN,02h24:45
W,Marathon Women,Barcelona,1992,G,Valentina YEGOROVA,EUN,2:32:41
W,Marathon Women,Barcelona,1992,S,Yuko ARIMORI,JPN,2:32:49
W,Marathon Women,Barcelona,1992,B,Lorraine MOLLER,NZL,2:33:59
W,Marathon Women,Los Angeles,1984,G,Joan BENOIT,USA,2:24:52
W,Marathon Women,Los Angeles,1984,S,Grete ANDERSEN,NOR,2:26:18
W,Marathon Women,Los Angeles,1984,B,Rosa MOTA,POR,2:26:57
W,Marathon Women,London,2012,G,Tiki GELANA,ETH,2:23:07
W,Marathon Women,London,2012,S,Priscah JEPTOO,KEN,2:23:12
W,Marathon Women,London,2012,B,Tatyana PETROVA ARKHIPOVA,RUS,2:23:29
W,Marathon Women,Athens,2004,G,Mizuki NOGUCHI,JPN,2h26:20
W,Marathon Women,Athens,2004,S,Catherine NDEREBA,KEN,2h26:32
W,Marathon Women,Athens,2004,B,Deena KASTOR,USA,2h27:20
W,Marathon Women,Atlanta,1996,G,Fatuma ROBA,ETH,2:26:05
W,Marathon Women,Atlanta,1996,S,Valentina YEGOROVA,RUS,2:28:05
W,Marathon Women,Atlanta,1996,B,Yuko ARIMORI,JPN,2:28:39
W,Marathon Women,Seoul,1988,G,Rosa MOTA,POR,2:25:40
W,Marathon Women,Seoul,1988,S,Lisa ONDIEKI,AUS,2:25:53
W,Marathon Women,Seoul,1988,B,Katrin DÃRRE,GDR,2:26:21
